"Measure_card","Short name","Variable TUDELFT","Variable IOER","Variable IEEP","spatial mapping included","BilaNisa_spatial","BilaNisa_public","synergy/conflict","Geberbach_spatial","Geberbach_public","synergy/conflict","Piasnica_spatial","Piasnica_public","synergy/conflict","Teplica_spatial","Teplica_public","synergy/conflict","notes"
"Remove technical river bed","Remove_TechRiverbed","","percentage of 50 m sections with bed constructions > 10 to 100%","meandres and meandres with elements (avarage of a2+a3)","","very low","very high","","high","very high","","very low","very high","","very high","high","",""
"Add transversal green corridor","Green_Corridor","","mean of Vegetation left/right (bank) and Land use and vegetation left/right (environment)","habitats for plants and animals (c9)","","medium","very high","","medium","very high","","low","very high","","medium","very high","",""
"construct raingarden","'--'","","","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
"increase space for river and floodplain","Increase_Space","distance from stream_to_building 
(mean of distance between stream and the closest building for every 10m along the 50m section, as a measure for  space availability (for floodplain or other restoration uses))","","meandres with elements (a3)","yes","high","very high","","low","very high","","high","very high","","medium","very high","",""
"Fine sediment retention","'--'","","","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
"Remove in-stream barriers","Remove_BiologicalBarriers","","continuousness (for fish/mzb)","fish passage (b10)","yes","medium","medium","","high","high","","very low","medium","","very high","high","",""
"Installation of garbage cans","'--'","","","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
"Create an interconnected network of green spaces","Green_Network","","mean of Vegetation left/right (bank) and Land use and vegetation left/right (environment)","wide riparian vegetation and natural arrangement of greenery in the wider area (avarage of a9+a10)","","medium","high","","medium","high","","low","medium","","medium","low","",""
"Use permeable pavement","'--'","","","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
"provide accessibilty along","Accesibility_Along_Stream","slowmobility_length_m_50m (length of slow mobility road--cycle and pedestrain--in the 50m buffer of the section)","","get from ""A to B"" (e1)","yes","low","very high","","medium","very high","","high","very high","","high","very high","",""
"provide accessibilty along","","","passability of the area","get from ""A to B"" (e1)","yes","high","very high","","very high","high","","high","very high","","very high","very high","",""
"reconnect floodplains","Reconnect_Floodplains","","environmental structure","pools and wetlands in floodplains (b7)","","low","high","","very low","high","","low","very high","","low","high","",""
"Plant riparian trees","Riparian_Trees","canopy_cover_10m (canopy cover in the 10m buffer of the section, 10m is chosen considering the measure is riparian trees)","","improvement of microclimate as proxy (c6)","yes","low","high","","high","very high","","low","very high","","very high","very high","",""
"Plant riparian vegetation (bufferstrips)","Riparian_Buffer","","mean of vegetation left/right (bank) and river buffer strip 3 m (environment)","wide riparian vegetaion (a9)","","medium","very high","","medium","very high","","medium","medium","","medium","medium","",""
"Plant riparian vegetation (bufferstrips)","","","vegetation left/right (bank)","wide riparian vegetaion (a9)","","medium","very high","","high","very high","","medium","very high","","high","very high","",""
"Plant fruit trees/bushes and herbs","'--'","","","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
"safety: ""eyes on the stream""","'--'","","","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
